ID,民族,地理_人口数量,地理_人口排名,地理_主要分布地区1,地理_地形结构1,地理_微生态区1,地理_气候带特征1,地理_主要分布地区2,地理_地形结构2,地理_微生态区2,地理_气候带特征2,地理_主要分布地区3,地理_地形结构3,地理_微生态区3,语言_语系1,语言_语系2,语言_语族1,语言_语族2,语言_语支1,语言_语支2,语言_单一书写系统,语言_支系1,语言_地区1,语言_语言1,语言_支系2,语言_地区2,语言_语言2,语言_支系3,语言_地区3,语言_语言3,语言_支系4,语言_地区4,语言_语言4,语言_支系5,语言_地区5,语言_语言5,饮食_地理区位1,饮食_地理区位2,饮食_地理区位3,饮食_主食1,饮食_主食2,饮食_主食3,饮食_肉类1,饮食_肉类2,饮食_肉类3,饮食_肉类4,饮食_蔬菜1,饮食_蔬菜2,饮食_蔬菜3,饮食_酒水1,饮食_酒水2,饮食_酒水3,饮食_风味类型,饮食_辣度指标(0-5),饮食_酸度指标(0-5),饮食_特色菜肴1,饮食_特色菜肴2,饮食_特色菜肴3,饮食_特色菜肴4,饮食_特色菜肴5,饮食_禁忌1,饮食_来源1,饮食_禁忌2,饮食_来源2,建筑_地区1,建筑_典型民居1,建筑_建筑结构1,建筑_结构功能1,建筑_主要建筑材质1,建筑_物质属性1,建筑_精神属性1,建筑_地区2,建筑_典型民居2,建筑_建筑结构2,建筑_结构功能2,建筑_主要建筑材质2,建筑_物质属性2,建筑_精神属性2,建筑_地区3,建筑_典型民居3,建筑_建筑结构3,建筑_结构功能3,建筑_主要建筑材质3,建筑_物质属性3,建筑_精神属性3,建筑_地区4,建筑_典型民居4,建筑_建筑结构4,建筑_结构功能4,建筑_主要建筑材质4,建筑_物质属性4,建筑_精神属性4,建筑_地区5,建筑_典型民居5,建筑_建筑结构5,建筑_结构功能5,建筑_主要建筑材质5,建筑_物质属性5,建筑_精神属性5,乐器_主要地区1.1,乐器_主要地区1.2,乐器_主要乐器1,乐器_乐器发声分类1,乐器_主要材质1.1,乐器_主要材质1.2,乐器_主要材质1.3,乐器_主要使用场景1,乐器_主要地区2.1,乐器_主要地区2.2,乐器_主要乐器2,乐器_乐器发声分类2,乐器_主要材质2.1,乐器_主要材质2.2,乐器_主要使用场景2,乐器_主要地区3.1,乐器_主要地区3.2,乐器_主要乐器3,乐器_乐器发声分类3,乐器_主要材质3.1,乐器_主要材质3.2,乐器_主要使用场景3,乐器_主要地区4.1,乐器_主要地区4.2,乐器_主要乐器4,乐器_乐器发声分类4,乐器_主要材质4.1,乐器_主要材质4.2,乐器_主要使用场景4,乐器_主要地区5.1,乐器_主要地区5.2,乐器_主要乐器5,乐器_乐器发声分类5,乐器_主要材质5.1,乐器_主要材质5.2,乐器_主要使用场景5,乐器_主要地区6.1,乐器_主要乐器6,乐器_乐器发声分类6,乐器_主要材质6.1,乐器_主要使用场景6,乐器_主要地区7.1,乐器_主要乐器7,乐器_乐器发声分类7,乐器_主要材质7.1,乐器_主要材质7.2,乐器_主要使用场景7
CN-MAN-11,满族,10410585,6,辽宁省,辽东半岛,长白山林区,温带季风气候,河北省,长白山脉,辽河流域,,黑龙江省,东北平原,松嫩平原,阿尔泰语系,汉藏语系,满-通古斯语族,汉语族,满语支,,满文,建州女真后裔,黑龙江黑河,满语,海西女真后裔,东北全境,东北官话,,,,,,,,,,辽宁省,河北省,黑龙江省,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,萨其马,酸汤子,白肉血肠,猪肉炖粉条,饽饽,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,松嫩平原,口袋房,砖木结构,防寒保暖,青砖,万字炕,萨满教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大兴安岭,黑龙江流域,单面手鼓,打击乐,木材,兽皮,,祭祀仪典,大兴安岭,黑龙江流域,鹿哨,管乐,动物骨角,树皮,民间节庆聚会,东北林海雪原,,树皮号,管乐,动物骨角,树皮,祭祀仪典,,,,,,,,,,,,,,,,,,,,,,,,,
CN-DNG-12,侗族,3495993,12,贵州省,黔湘桂交界中低山区,都柳江,亚热带季风气候,湖南省,,清水江,,广西壮族自治区,,渠江流域,汉藏语系,,壮侗语族,,侗水语支,,侗文,南侗,贵州黎平,南部方言,北侗,湖南新晃,北部方言,,,,,,,,,,贵州省,湖南省,广西壮族自治区,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,牛鳖,酸汤鱼,紫血肉,腌鱼,重阳酒,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,都柳江流域,吊脚楼,穿斗式木构架,防潮防兽,杉木,神龛,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西南山区,,大歌芦笙,管乐,木材,,,民间节庆聚会,西南山区,,葫芦笙,管乐,竹材,木材,民间节庆聚会,西南山区,,口弦,打击乐,竹材,铜簧,青年传情达意,西南山区,,月琴,弹拨乐,木材,丝弦,祭祀仪典,黔东南,湘西山区,芒筒,管乐,金属铜,,民间节庆聚会,,,,,,,,,,,
CN-YAO-13,瑶族,3309341,13,广西壮族自治区,中高山林区,南岭走廊,亚热带季风气候,湖南省,十万大山,都庞岭,,云南省,,十万大山,汉藏语系,,苗瑶语族,,瑶语支,苗语支,勉文,盘瑶,广西地区,勉语,布努瑶,广西都安,布努语,茶山瑶,广西金秀,拉珈语,,,,,,,广西壮族自治区,湖南省,云南省,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,广西,干栏式,干栏式木构,防潮散热,杉木,神柱,道教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,广西,,芦笙,管乐,竹材,木材,,民间节庆聚会,广西,,葫芦笙,管乐,竹材,木材,民间节庆聚会,广西,,口弦,打击乐,竹材,铜簧,青年传情达意,广西,,月琴,弹拨乐,木材,丝弦,祭祀仪典,广西,,芒筒,管乐,金属铜,,民间节庆聚会,,,,,,,,,,,
CN-BAI-14,白族,2089069,14,云南省,大理苍山山麓,苍山洱海盆地,亚热带高原季风气候,,洱海盆地,大理坝子,,,,,汉藏语系,,藏缅语族,,白语支(争议，或独立),,老白文,那马人,云南大理,南部方言,勒墨人,云南剑川,中部方言,谷宗人,云南怒江,北部方言,,,,,,,云南省,,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,本主崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,云南省,,竹笛,管乐,竹材,木材,,民间节庆聚会,云南省,,唢呐,管乐,金属铜,,婚丧嫁娶,云南省,,白族大三弦,弹拨乐,木材,,民间节庆聚会,云南省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-TJZ-15,土家族,8952750,8,湖南省,武陵山区,武陵山腹地,亚热带季风气候,湖北省,乌蒙山区边缘,清江流域,,重庆市,,酉水流域,汉藏语系,,藏缅语族,,土家语支,,无传统文字,毕兹卡,湖南龙山,土家语北部方言,土家族南支,湖南泸溪,土家语南部方言,,,,,,,,,,湖南省,湖北省,重庆市,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,湖南省,干栏式,干栏式木构,防潮散热,杉木,神柱,祖先崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湖南省,,竹笛,管乐,竹材,木材,,民间节庆聚会,湖南省,,唢呐,管乐,金属铜,,婚丧嫁娶,湖南省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,湖南省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-HNI-16,哈尼族,1733166,15,云南省,哀牢山,哀牢山梯田区,亚热带,,无量山,无量山区,热带季风气候,,,红河中下游谷地,汉藏语系,,藏缅语族,,彝语支,,哈尼文,哈尼本支,云南红河,哈雅方言,卡多支系,云南墨江,碧卡方言,白宏支系,云南元江,豪白方言,,,,,,,云南省,,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西南横断山区,,芦笙,管乐,竹材,木材,,民间节庆聚会,滇南,凉山,葫芦笙,管乐,竹材,木材,民间节庆聚会,滇南,凉山,口弦,打击乐,竹材,铜簧,青年传情达意,西南横断山区,,哈尼族月琴,拉弦乐,木材,,祭祀仪典,西南横断山区,,芒筒,管乐,金属铜,,民间节庆聚会,,,,,,,,,,,
CN-HSK-17,哈萨克族,1562518,18,新疆维吾尔自治区,天山,天山北坡牧场,温带大陆性气候,甘肃省,阿尔泰山,阿尔泰山河谷,,,准噶尔盆地边缘,准噶尔盆地边缘,阿尔泰语系,,突厥语族,,钦察语支,,哈萨克文,克烈部,新疆阿勒泰,东北方言,乃蛮部,新疆伊犁,西南方言,,,,,,,,,,新疆维吾尔自治区,甘肃省,,炒米,馓子,馕,羊肉,牛肉,马肉,骆驼肉,野葱,沙葱,根茎类极少,马奶酒,咸奶茶,砖茶,原味/高脂型,0,0,手把肉,烤全羊,纳仁,马肠子,马奶酒,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规,阿尔泰山,毡房,木骨架穹庐,防风雪易拆装,羊毛毡,火塘,伊斯兰教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新疆北部牧区,,冬不拉,拉弦乐,木材,兽皮,马尾,民间节庆聚会,天山,阿尔泰山牧区,冬不拉,弹拨乐,木材,丝弦,民间节庆聚会,天山,阿尔泰山牧区,库姆孜,弹拨乐,木材,丝弦,戏曲说唱伴奏,新疆北部牧区,,托布秀尔,弹拨乐,木材,丝弦,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-DAI-18,傣族,1329985,19,云南省,低海拔宽谷盆地,西双版纳热带雨林,热带,,,德宏宽谷坝子,亚热带季风气候,,,澜沧江流域,汉藏语系,,壮侗语族,,壮傣语支,,傣仂文,傣仂,云南西双版纳,傣仂语,傣哪,云南德宏,傣哪语,傣端,云南金平,金平傣语,,,,,,,云南省,,,糯米,旱谷,芭蕉芋,猪肉,鸡肉,鱼类,昆虫(蜂蛹/蚂蚱),热带雨林野生植物,竹笋,芭蕉叶,竹筒酒,普洱茶(布朗/茶山),烤茶,重酸重辣型,5,5,竹筒饭,撒撇,酸笋煮鸡,菠萝饭,香茅草烤鱼,特定斋戒期禁忌,南传佛教教规,猎头祭谷相关禁忌,原始农耕祭祀,澜沧江谷地,竹楼,干栏式竹构,防潮散热,竹材,火塘,上座部佛教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,云南边境谷地,,铜鼓,打击乐,金属铜,,,祭祀仪典,云南边境谷地,,傣族葫芦丝,管乐,木材,,祭祀仪典,西双版纳,德宏谷地,象脚鼓,打击乐,竹材,木材,民间节庆聚会,云南边境谷地,,木鼓,打击乐,竹材,木材,祭祀仪典,,,,,,,,,,,,,,,,,,
CN-LIZ-19,黎族,1602104,17,海南省,五指山区,五指山腹地,热带海洋性季风气候,,鹦哥岭,鹦哥岭,,,,海南岛中南部河谷,汉藏语系,,壮侗语族,,黎语支,,黎文,哈黎,海南保亭,哈方言,杞黎,海南陵水,杞方言,润黎,海南白沙,润方言,,,,,,,海南省,,,大米,薯芋,,海鱼,贝类,猪肉,,热带植物,椰子,槟榔,山兰酒,椰汁,,发酵极酸型,0,5,竹筒饭,鱼茶,肉茶,三色饭,,特定图腾动物(如狗/熊)食用禁忌,萨满教/动物图腾崇拜,猛兽食用需特定模仿仪式,萨满教/自然崇拜,五指山区,船形屋,竹木拱形结构,防台风,茅草,中柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,海南五指山区,,竹鼻箫,管乐,竹材,木材,,民间节庆聚会,海南五指山区,,唢呐,管乐,金属铜,,婚丧嫁娶,海南五指山区,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,海南五指山区,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-LSU-20,傈僳族,762996,21,云南省,横断山区,怒江大峡谷,高山峡谷垂直立体气候,四川省,高黎贡山,高黎贡山,,,,金沙江干热河谷,汉藏语系,,藏缅语族,,彝语支,,老傈僳文,黑傈僳,云南怒江,怒江方言,白傈僳,云南禄劝,禄劝方言,,,,,,,,,,云南省,四川省,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西南横断山区,,葫芦笙,管乐,竹材,木材,,民间节庆聚会,滇南,凉山,葫芦笙,管乐,竹材,木材,民间节庆聚会,滇南,凉山,口弦,打击乐,竹材,铜簧,青年传情达意,滇南,凉山,月琴,弹拨乐,木材,丝弦,祭祀仪典,西南横断山区,,芒筒,管乐,金属铜,,民间节庆聚会,,,,,,,,,,,
CN-VA-21,佤族,430977,26,云南省,阿佤山区,阿佤山区,亚热带,,,澜沧江高山地带,热带季风气候,,,萨尔温江分水岭,南亚语系,,孟高棉语族,,佤德昂语支,,佤文,巴饶克,云南西盟,巴饶克方言,阿佤,云南沧源,佤方言,,,,,,,,,,云南省,,,糯米,旱谷,芭蕉芋,猪肉,鸡肉,鱼类,昆虫(蜂蛹/蚂蚱),热带雨林野生植物,竹笋,芭蕉叶,竹筒酒,普洱茶(布朗/茶山),烤茶,重酸重辣型,5,5,鸡肉烂饭,牛撒撇,水酒,竹筒饭,,特定斋戒期禁忌,南传佛教教规,猎头祭谷相关禁忌,原始农耕祭祀,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,滇西南山区,,木鼓,打击乐,木材,,,祭祀仪典,滇西南山区,,葫芦丝,管乐,竹材,木材,祭祀仪典,滇西南山区,,象脚鼓,打击乐,竹材,木材,民间节庆聚会,阿佤山区,,木鼓,打击乐,竹材,木材,祭祀仪典,,,,,,,,,,,,,,,,,,
CN-SHE-22,畲族,746385,22,福建省,东南沿海丘陵山地,闽浙赣交界山区,亚热带海洋性季风气候,浙江省,,武夷山脉,,江西省,,雁荡山脉,汉藏语系,,苗瑶语族,汉语族,苗语支,,通用汉字,活聂,广东博罗,畲语炯奈话,山哈,福建地区,畲话客家方言,,,,,,,,,,福建省,浙江省,江西省,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,乌米饭,豆腐娘,管麦竹筒饭,,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,福建省,干栏式,干栏式木构,防潮散热,杉木,神柱,祖先崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,福建省,,竹笛,管乐,竹材,木材,,民间节庆聚会,福建省,,唢呐,管乐,金属铜,,婚丧嫁娶,福建省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,福建省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-GAO-23,高山族,3479,56,台湾省,台湾中央山脉,台湾中央山脉,热带,福建省,东部沿海平原,阿里山林区,亚热带海洋性季风气候,,,兰屿岛,南岛语系,,台湾南岛语族,,,,拉丁字母拼写,泰雅人,台湾北部山区,泰雅语,排湾人,台湾南部山区,排湾语,阿美人,台湾东部平原,阿美语,,,,,,,台湾省,福建省,,大米,薯芋,,海鱼,贝类,猪肉,,热带植物,椰子,槟榔,山兰酒,椰汁,,发酵极酸型,0,5,竹筒饭,烤山猪肉,阿拜(麻薯),,,特定图腾动物(如狗/熊)食用禁忌,萨满教/动物图腾崇拜,猛兽食用需特定模仿仪式,萨满教/自然崇拜,台湾省,干栏式,干栏式木构,防潮散热,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,台湾中央山脉,,鼻笛,管乐,竹材,木材,,民间节庆聚会,台湾中央山脉,,唢呐,管乐,金属铜,,婚丧嫁娶,台湾中央山脉,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,台湾中央山脉,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-LAH-24,拉祜族,499027,24,云南省,澜沧江流域中低海拔山区,普洱,亚热带,,,临沧山地,热带季风气候,,,,汉藏语系,,藏缅语族,,彝语支,,拉祜文,拉祜纳,云南澜沧,黑拉祜语,拉祜西,云南西盟,黄拉祜语,,,,,,,,,,云南省,,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,上座部佛教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西南横断山区,,竹笛,管乐,竹材,木材,,民间节庆聚会,西南横断山区,,唢呐,管乐,金属铜,,婚丧嫁娶,西南横断山区,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,西南横断山区,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-SUI-25,水族,495928,25,贵州省,黔南苗岭以南丘陵,都柳江上游,亚热带季风气候,广西壮族自治区,,龙江上游,,,,,汉藏语系,,壮侗语族,,侗水语支,,水书,睢人,贵州三都,三洞土语,水族阳安支,贵州荔波,阳安土语,,,,,,,,,,贵州省,广西壮族自治区,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,贵州省,干栏式,干栏式木构,防潮散热,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西南山区,,铜鼓,打击乐,金属铜,,,祭祀仪典,西南山区,,葫芦丝,管乐,竹材,木材,祭祀仪典,西南山区,,象脚鼓,打击乐,竹材,木材,民间节庆聚会,西南山区,,木鼓,打击乐,竹材,木材,祭祀仪典,,,,,,,,,,,,,,,,,,
CN-DXG-26,东乡族,774947,20,甘肃省,陇西黄土高原,陇西黄土高原,温带大陆性半干旱气候,新疆维吾尔自治区,,洮河黄土沟壑区,,,,,阿尔泰语系,,蒙古语族,,,,无传统文字,撒尔塔,甘肃东乡县,锁南汪家集方言,,,,,,,,,,,,,甘肃省,新疆维吾尔自治区,,小麦,大米,,羊肉,牛肉,鸡肉,,洋葱(皮牙子),胡萝卜,番茄,茯茶,砖茶,酸奶(多格),辛香/咸鲜型,2,0,手抓羊肉,油香,馓子,尕面片,,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规,甘肃省,干栏式,干栏式木构,防潮散热,杉木,神柱,伊斯兰教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,甘肃省,,竹笛,管乐,竹材,木材,,民间节庆聚会,甘肃省,,唢呐,管乐,金属铜,,婚丧嫁娶,甘肃省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,甘肃省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-NAX-27,纳西族,323767,27,云南省,玉龙雪山脚下盆地,丽江坝子,亚热带高原季风气候,四川省,,金沙江干热河谷,,,,泸沽湖畔,汉藏语系,,藏缅语族,,彝语支,,东巴文,纳西本支,云南丽江,西部方言,摩梭人,云南宁蒗,东部方言,,,,,,,,,,云南省,四川省,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,丽江粑粑,吹肝,米灌肠,琵琶肉,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,东巴教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,云南省,,竹笛,管乐,竹材,木材,,民间节庆聚会,云南省,,唢呐,管乐,金属铜,,婚丧嫁娶,云南省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,云南省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-JPO-28,景颇族,160471,34,云南省,横断山脉南延中低海拔山区,大盈江流域,热带,,,瑞丽江流域,亚热带季风气候,,,横断山南延中低山,汉藏语系,,藏缅语族,,景颇语支,,景颇文,景颇支系,云南瑞丽,景颇语,载瓦支系,云南芒市,载瓦语,,,,,,,,,,云南省,,,糯米,旱谷,芭蕉芋,猪肉,鸡肉,鱼类,昆虫(蜂蛹/蚂蚱),热带雨林野生植物,竹笋,芭蕉叶,竹筒酒,普洱茶(布朗/茶山),烤茶,重酸重辣型,5,5,绿叶宴,鬼鸡,舂菜,水酒,,特定斋戒期禁忌,南传佛教教规,猎头祭谷相关禁忌,原始农耕祭祀,云南省,干栏式,干栏式木构,防潮散热,杉木,神柱,自然崇拜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,云南省,,竹笛,管乐,竹材,木材,,民间节庆聚会,云南省,,唢呐,管乐,金属铜,,婚丧嫁娶,云南省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,云南省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-KGZ-29,柯尔克孜族,204873,31,新疆维吾尔自治区,帕米尔高原,帕米尔高原牧场,高原高寒气候,黑龙江省,天山南脉,天山南脉,温带干旱气候,,,克孜勒苏河谷,阿尔泰语系,,突厥语族,,钦察语支,,柯尔克孜文,南疆克尔克孜,新疆克孜勒苏,南部方言,北疆克尔克孜,新疆特克斯,北部方言,,,,,,,,,,新疆维吾尔自治区,黑龙江省,,炒米,馓子,馕,羊肉,牛肉,马肉,骆驼肉,野葱,沙葱,根茎类极少,马奶酒,咸奶茶,砖茶,原味/高脂型,0,0,手把肉,马肠子,纳仁,马奶酒,,绝对禁食猪肉、自死物、血液,伊斯兰教清真教规,屠宰必须诵经,伊斯兰教清真教规,新疆,帐篷,木骨架穹庐,防风易迁,木杆(哈那/乌尼),无,伊斯兰教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新疆北部牧区,,马头琴,拉弦乐,木材,兽皮,马尾,民间节庆聚会,天山,阿尔泰山牧区,冬不拉,弹拨乐,木材,丝弦,民间节庆聚会,天山,阿尔泰山牧区,库姆孜,弹拨乐,木材,丝弦,戏曲说唱伴奏,新疆北部牧区,,托布秀尔,弹拨乐,木材,丝弦,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-TUZ-30,土族,281928,29,青海省,祁连山脉余脉,湟水谷地,高原温带大陆性气候,甘肃省,青藏高原东北边缘,大通河流域,,,,祁连山余脉,阿尔泰语系,,蒙古语族,,,,土族拼音文字,蒙古尔,青海互助,互助方言,察罕蒙古尔,青海民和,民和方言,,,,,,,,,,青海省,甘肃省,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,盘肉,焜锅馍,哈力海,青稞酒,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,青海省,干栏式,干栏式木构,防潮散热,杉木,神柱,藏传佛教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青海省,,竹笛,管乐,竹材,木材,,民间节庆聚会,青海省,,唢呐,管乐,金属铜,,婚丧嫁娶,青海省,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,青海省,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-DAW-31,达斡尔族,132299,35,内蒙古自治区,大兴安岭边缘,嫩江流域,温带大陆性季风气候,黑龙江省,森林草原交汇带,雅鲁河流域,,新疆维吾尔自治区,,森林草原交汇带,阿尔泰语系,,蒙古语族,,,,无传统文字,布特哈支系,内蒙古莫力达瓦,布特哈方言,齐齐哈尔支系,黑龙江齐齐哈尔,齐齐哈尔方言,,,,,,,,,,内蒙古自治区,黑龙江省,新疆维吾尔自治区,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,柳蒿芽炖肉,手把肉,燕麦炒面,狍肉,,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,内蒙古,干栏式,干栏式木构,防潮散热,杉木,神柱,萨满教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,东北林海雪原,,竹笛,管乐,竹材,木材,,民间节庆聚会,东北林海雪原,,唢呐,管乐,金属铜,,婚丧嫁娶,东北林海雪原,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,东北林海雪原,,萨满单面抓鼓,管乐,木材,,民间节庆聚会,,,,,,,,,,,,,,,,,,
CN-MUL-32,仫佬族,277233,30,广西壮族自治区,九万大山,罗城武阳江流域,亚热带季风气候,,喀斯特溶岩山区,,,,,,汉藏语系,,壮侗语族,,侗水语支,,无传统文字,木佬人,广西罗城,仫佬语,,,,,,,,,,,,,广西壮族自治区,,,水稻,玉米,薯类,猪肉(腊肉为主),鸡鸭,稻田鱼,,辣椒,萝卜,青菜,甜米酒(拦门酒),三道茶(白族),杆杆酒,重酸重辣型,5,5,酸汤鱼,腊肉,五色糯米饭,坨坨肉,剁生,祭祀肉类需按血缘宗法分配,宗法血缘制度,特定自然物禁忌,自然神信仰,广西,干栏式,干栏式木构,防潮散热,杉木,神柱,道教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,广西,,竹笛,管乐,竹材,木材,,民间节庆聚会,广西,,唢呐,管乐,金属铜,,婚丧嫁娶,广西,,三弦,弹拨乐,木材,丝弦,民间节庆聚会,广西,,锣鼓,打击乐,金属铜,,民间节庆聚会,,,,,,,,,,,,,,,,,,
